Nomor #,Tanggal,Keterangan,Kode Barang,Nama Barang,Kuantitas,Catatan,Stok Akhir,Nama Departemen,Nama Proyek,No. Lambung,Tipe Penyesuaian,Biaya Satuan,Total Biaya,Nama Gudang
IA.2024.10.05886,2024-10-15,"PEMAKAIAN BR 03 SHIFT 2 PIT A9
HM:",114471,PERSEDIAAN HSD/SOLAR,55,BUS RENTAL,1170,A9_P_HE_FUEL,PINANG,CONSUMABLE,Pengurangan,10711.864657,589152.556135,BBE
IA.2024.10.05887,2024-10-15,"PEMAKAIAN B-05 SHIFT 2 PIT A9
HM: 9529.4",114471,PERSEDIAAN HSD/SOLAR,61,,1109,A9_P_HE_FUEL,PINANG,B-05,Pengurangan,10711.864657,653423.744077,BBE
IA.2024.10.05888,2024-10-15,"PEMAKAIAN C-01 SHIFT 2 PIT A9
HM: 12743.7",114471,PERSEDIAAN HSD/SOLAR,30,,1079,A9_P_HE_FUEL,PINANG,C-01,Pengurangan,10711.864657,321355.93971,BBE
IA.2024.10.05889,2024-10-15,"PEMAKAIAN MDT103 SHIFT 2 PIT A9
HM: 5586",114471,PERSEDIAAN HSD/SOLAR,73,,1006,A9_P_HE_FUEL,PINANG,CONSUMABLE,Pengurangan,10711.864657,781966.119961,BBE
IA.2024.10.05890,2024-10-15,"PEMAKAIAN MDT107 SHIFT 2 PIT A9
HM: 849.6",114471,PERSEDIAAN HSD/SOLAR,100,,906,A9_P_HE_FUEL,PINANG,CONSUMABLE,Pengurangan,10711.864657,1071186.4657,BBE
IA.2024.10.05891,2024-10-15,"PEMAKAIAN MDT108 SHIFT 2 PIT A9
HM: 4767.8",114471,PERSEDIAAN HSD/SOLAR,100,,806,A9_P_HE_FUEL,PINANG,CONSUMABLE,Pengurangan,10711.864657,1071186.4657,BBE
IA.2024.10.05892,2024-10-15,"PEMAKAIAN MDT109 SHIFT 2 PIT A9
HM: 4811.3",114471,PERSEDIAAN HSD/SOLAR,100,,706,A9_P_HE_FUEL,PINANG,CONSUMABLE,Pengurangan,10711.864657,1071186.4657,BBE
IA.2024.10.05893,2024-10-15,"PEMAKAIAN MDT111 SHIFT 2 PIT A9
HM: 4694.2",114471,PERSEDIAAN HSD/SOLAR,76,,630,A9_P_HE_FUEL,PINANG,CONSUMABLE,Pengurangan,10711.864657,814101.713932,BBE
IA.2024.10.05894,2024-10-15,"PEMAKAIAN LV-01 SHIFT 2 PIT A9
HM: 4795.8",114471,PERSEDIAAN HSD/SOLAR,66,LV BBM (B 9167 SAN),564,A9_P_HE_FUEL,PINANG,CONSUMABLE,Pengurangan,10711.864657,706983.067362,BBE
IA.BRCM.2024.10.02106,2024-10-15,"PEMAKAIAN ME023 SHIFT 1 PIT SAMBOJA

HM: 14478",114471,PERSEDIAAN HSD/SOLAR,434,,-5661,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME023 - SANY 365 H PRO - BRCM,Pengurangan,10711.864657,4648949.261138,BBE
IA.BRCM.2024.10.02107,2024-10-15,"PEMAKAIAN ME048 SHIFT 1 PIT SAMBOJA

HM: 10375.2",114471,PERSEDIAAN HSD/SOLAR,373,,-5600,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME048 - KOMATSU PC500 10R - BRCM,Pengurangan,10711.864657,3995525.517061,BBE
IA.BRCM.2024.10.02108,2024-10-15,"PEMAKAIAN ME052 SHIFT 1 PIT SAMBOJA

HM: 8919",114471,PERSEDIAAN HSD/SOLAR,337,,-5564,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME052 - SANY SY500H - BRCM,Pengurangan,10711.864657,3609898.389409,BBE
IA.BRCM.2024.10.02109,2024-10-15,"PEMAKAIAN ME069 SHIFT 1 PIT SAMBOJA

HM: 862.1",114471,PERSEDIAAN HSD/SOLAR,317,,-5544,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME069 - HITACHI ZX200 - BRCM,Pengurangan,10711.864657,3395661.096269,BBE
IA.BRCM.2024.10.02110,2024-10-15,"PEMAKAIAN ME070 SHIFT 1 PIT SAMBOJA

HM: 837.5",114471,PERSEDIAAN HSD/SOLAR,377,,-5604,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME070 - HITACHI ZX200 - BRCM,Pengurangan,10711.864657,4038372.975689,BBE
IA.BRCM.2024.10.02111,2024-10-15,"PEMAKAIAN ME066 SHIFT 1 PIT SAMBOJA

HM: 856.3",114471,PERSEDIAAN HSD/SOLAR,363,,-5590,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME066 - DOOSAN DEVELON - BRCM,Pengurangan,10711.864657,3888406.870491,BBE
IA.BRCM.2024.10.02112,2024-10-15,"PEMAKAIAN ME067 SHIFT 1 PIT SAMBOJA

HM: 773.3",114471,PERSEDIAAN HSD/SOLAR,222,,-5449,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME067 - DOOSAN DEVELON - BRCM,Pengurangan,10711.864657,2378033.953854,BBE
IA.BRCM.2024.10.02113,2024-10-15,"PEMAKAIAN ME068 SHIFT 1 PIT SAMBOJA

HM: 640.4",114471,PERSEDIAAN HSD/SOLAR,300,,-5527,BRCM_P_HE_FUEL,BRCM - SAMBOJA,ME068 - DOOSAN DEVELON - BRCM,Pengurangan,10711.864657,3213559.3971,BBE
